Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
7.10E-16,71,928,3.315518466,GO:0046649 lymphocyte activation , http://amigo.geneontology.org/amigo/term/GO:0046649, TYROBP  CD22  TNFRSF1B  LAT2  CD40  CD79A  DOCK8  VSIR  CD86  TNFSF9  BANK1  SAMSN1  TNFRSF13C  MALT1  CLCF1  GAPT  SIRPA  CCR7  BATF  CD44  CD276  IL4I1  RARA  LCP1  BCL2  WAS  TRAF3IP2  BCL3  RAB27A  IL4R  ITCH  PSEN1  P2RX7  UNC13D  ELF4  EBI3  TCIRG1  PTPN6  HES1  CBLB  PTK2B  RAC2  BST2  THEMIS2  IRF8  IL2RG  ZEB1  ADAM8  MR1  ITGB2  CXCR5  ZBTB7B  CCDC88B  TBC1D10C  CD151  TNFRSF4  RASSF5  ITGAL  POU2F2  ICAM1  RASAL3  CD70  MEF2C  ID2  PTPRJ  TNIP2  C17orf99  KLF6  IL21R  CSK  SRC
1.96E-15,78,1122,3.012609383,GO:0045321 leukocyte activation , http://amigo.geneontology.org/amigo/term/GO:0045321, TYROBP  CD22  TNFRSF1B  LAT2  CD40  CD79A  DOCK8  VSIR  CD86  TNFSF9  BANK1  SAMSN1  TNFRSF13C  MALT1  CLCF1  GAPT  SIRPA  CCR7  BATF  CD44  CD276  IL4I1  RARA  LCP1  BCL2  WAS  STAP1  TRAF3IP2  BCL3  RAB27A  IL4R  ITCH  PSEN1  P2RX7  UNC13D  HMOX1  ELF4  EBI3  CBL  TCIRG1  PTPN6  HES1  CBLB  PTK2B  RAC2  BST2  THEMIS2  IRF8  IL2RG  ZEB1  ADAM8  MR1  ITGB2  CXCR5  ZBTB7B  CCDC88B  TLR1  TLR6  TBC1D10C  CD151  TNFRSF4  RASSF5  ITGAL  POU2F2  ICAM1  RASAL3  CD70  IFNGR1  MEF2C  ID2  PTPRJ  TNIP2  C17orf99  KLF6  IL21R  CSF1  CSK  SRC
8.98E-14,72,1054,2.96028118,GO:0050776 reg. of immune response , http://amigo.geneontology.org/amigo/term/GO:0050776, CD22  TNFRSF1B  STAP1  LAT2  CD40  CSK  CD276  CD79A  ZBP1  THEMIS2  PARP9  TAPBPL  LY96  TNIP2  MALT1  TLR10  TLR1  TLR6  CADM1  C17orf99  DENND1B  BATF  TYROBP  CYBA  FAM3A  CTSH  KCNN4  IL4I1  RBCK1  RARA  PTPRJ  MR1  TRIM56  WNK1  IL4R  PSEN1  P2RX7  HMOX1  NFKBIA  N4BP1  FCER2  VSIR  SLC15A3  PTPN6  CBLB  GPR108  CCR7  RAC2  IRAK2  SPPL2A  TNIP1  ADAM8  SAMSN1  ZBTB7B  PARP14  CLCF1  IKBKE  ITGB2  WAS  STX7  OAS1  UNC13D  RIOK3  OAS3  BCL2  MEF2C  CD86  ITCH  CYLD  BANK1  VAV2  SRC
7.86E-15,83,1280,2.810018643,GO:0001775 cell activation , http://amigo.geneontology.org/amigo/term/GO:0001775, TYROBP  CD22  TNFRSF1B  LAT2  CD40  CD79A  DOCK8  VSIR  CD86  TNFSF9  BANK1  SAMSN1  TNFRSF13C  MALT1  CLCF1  GAPT  SIRPA  CCR7  BATF  CD44  CD276  IL4I1  RARA  LCP1  BCL2  TLR1  TLR6  WAS  STAP1  TRAF3IP2  BCL3  RAB27A  IL4R  ITCH  PSEN1  P2RX7  UNC13D  HMOX1  ELF4  EBI3  P2RX1  CBL  TCIRG1  SH2B3  PTPN6  HES1  CBLB  GNA13  PTK2B  RAC2  BST2  THEMIS2  SERPINE2  IRF8  IL2RG  ZEB1  ADAM8  MR1  ITGB2  CXCR5  ZBTB7B  CCDC88B  TBC1D10C  CD151  TNFRSF4  RASSF5  ITGAL  POU2F2  ICAM1  RASAL3  CD70  IFNGR1  MEF2C  ID2  PTPRJ  TNIP2  C17orf99  KLF6  IL21R  CSF1  CSK  VAV2  SRC
5.86E-17,105,1735,2.622593005,GO:0002682 reg. of immune system proc. , http://amigo.geneontology.org/amigo/term/GO:0002682, TYROBP  CD22  TNFRSF1B  STAP1  LAT2  CD40  CSK  CD276  CD79A  DOCK8  VSIR  CD86  ZBP1  TNFSF9  RAC2  THEMIS2  PARP9  TAPBPL  ADAM8  BANK1  LY96  SAMSN1  TNFRSF13C  TNIP2  MALT1  GPR137  TLR10  TLR1  TLR6  AKIRIN1  CLCF1  RHOG  CADM1  CSF1  EVI2B  C17orf99  SIRPA  DENND1B  BATF  CYBA  FAM3A  CTSH  KCNN4  IL4I1  RBCK1  CCR7  PRMT1  BST2  RARA  TCTA  PTPRJ  MR1  TRIM56  WNK1  CNN2  TFE3  IL4R  ITCH  PSEN1  P2RX7  HMOX1  NFKBIA  N4BP1  FCER2  SLC15A3  PTPN6  HSPA9  HES1  CBLB  PTK2B  GPR108  IRAK2  SPPL2A  RB1  TNIP1  IL2RG  ZEB1  KLF10  TSC22D3  ZBTB7B  CCDC88B  PARP14  TBC1D10C  LITAF  IKBKE  RASSF5  ITGB2  WAS  STX7  OAS1  ICAM1  UNC13D  RIN3  RIOK3  RASAL3  OAS3  BCL2  MEF2C  ID2  TNFRSF4  CYLD  EBI3  CD70  VAV2  SRC
3.62E-17,122,2190,2.414108551,GO:0006955 immune response , http://amigo.geneontology.org/amigo/term/GO:0006955, TYROBP  CD22  TNFRSF1B  STAP1  TRAF3IP2  IL4R  LAT2  CD40  PTK6  CCL22  IL21R  CSK  CD276  CD79A  LY86  CD86  PTK2B  ZBP1  SRMS  CCR7  BST2  THEMIS2  PARP9  TAPBPL  LY96  CXCR5  TNIP2  TRIM56  MALT1  TLR10  TLR1  TLR6  GAPT  SHMT2  CADM1  IFITM2  IFITM1  C17orf99  SRC  DENND1B  IFNGR1  BATF  IKBKE  CYBA  FAM3A  CYLD  CTSH  KCNN4  IL4I1  RBCK1  RARA  LCP1  IRF8  PTPRJ  MR1  CXCL16  WAS  FAS  WNK1  TFE3  BCL3  RAB27A  TRAF4  ITCH  PSEN1  P2RX7  OAS1  ICAM1  UNC13D  HMOX1  NFKBIA  RIOK3  ELF4  N4BP1  FCER2  VSIR  CBL  SLC15A3  TCIRG1  OAS3  PTPN6  TFEB  CBLB  TNFSF9  CD70  GPR108  RAC2  IRF5  IRAK2  SPPL2A  TNIP1  ADAM8  SAMSN1  TNFRSF13C  ZBTB7B  DTX3L  CYBB  PARP14  CYSLTR1  CLCF1  PLEC  CYBC1  CSF1  LITAF  MYO1C  ORAI1  ITGB2  ITGAL  STX7  PLEKHM2  ARL8B  BCL2  MEF2C  SIRPA  PKHD1L1  POU2F2  EBI3  NCF2  IL2RG  BANK1  VAV2  TNFRSF4
3.62E-17,155,3183,2.110260832,GO:0002376 immune system proc. , http://amigo.geneontology.org/amigo/term/GO:0002376, TYROBP  CD22  FAS  TNFRSF1B  STAP1  TRAF3IP2  IL4R  LAT2  CD40  PTK6  CCL22  IL21R  CSK  CD276  CD79A  DOCK8  VSIR  LY86  CD86  PTK2B  ZBP1  SRMS  TNFSF9  CCR7  RAC2  IRF5  BST2  THEMIS2  PARP9  TAPBPL  IRF8  TCTA  ADAM8  BANK1  LY96  SAMSN1  TNFRSF13C  CXCR5  CXCL16  IRF2  TET2  TNIP2  TRIM56  MALT1  GPR137  TLR10  TLR1  TLR6  AKIRIN1  CLCF1  GAPT  RHOG  SHMT2  CADM1  CSF1  IFITM2  EVI2B  IFITM1  C17orf99  SRC  SIRPA  DENND1B  IFNGR1  BATF  IKBKE  ITGAL  CD44  CYBA  FAM3A  CYLD  CTSH  KCNN4  IL4I1  RBCK1  PRMT1  RARA  LCP1  PTPRJ  MR1  ITGB2  BCL2  UFL1  WAS  WNK1  CNN2  TFE3  BCL3  RAB27A  ATP6AP1  TRAF4  ITCH  PSEN1  P2RX7  OAS1  ICAM1  UNC13D  HMOX1  NFKBIA  RIOK3  ELF4  N4BP1  FCER2  EBI3  CBL  SLC15A3  TCIRG1  SH2B3  OAS3  PTPN6  TFEB  HSPA9  HES1  CBLB  CD70  GPR108  KLF2  IRAK2  ARL8B  SPPL2A  RB1  TNIP1  IL2RG  ZEB1  KLF10  TSC22D3  ZBTB7B  SQSTM1  FCMR  DTX3L  CYBB  CCDC88B  PARP14  CYSLTR1  TBC1D10C  CD151  PLEC  CYBC1  CRIP2  TNFRSF4  LITAF  MYO1C  RASSF5  ORAI1  POU2F2  STX7  RIN3  RASAL3  PLEKHM2  MEF2C  ID2  KLF6  POLL  PKHD1L1  NCF2  VAV2
1.50E-13,145,3210,1.957510266,GO:0009966 reg. of signal transduction , http://amigo.geneontology.org/amigo/term/GO:0009966, HMOX1  BST2  MALT1  LITAF  CFLAR  CD22  FAS  CD44  STAP1  TRAF1  TRAF3IP2  LIMS2  TRAF4  CYLD  GRK3  CD40  CCL22  CSK  CBL  LY86  CBLB  PMEPA1  ZBP1  RBCK1  GDF11  SPRY2  DUSP5  PARP9  INHBE  DUSP6  TNIP1  PTPRJ  BANK1  LY96  DUSP2  PEA15  MIOS  SPRED1  TNIP2  BCL2  GPR137  INHBC  DDIT3  EPS8L2  SRC  GRK6  SPRED2  CCR7  LAMC1  UFL1  CYBA  CDK14  ICAM1  RIOK3  KCNN4  IL10RA  PTPN6  KLF2  SCYL2  ITPR1  TMC8  TRIM56  NPTX1  TLR6  CSF1  RASGRF1  NDST1  ITCH  PSEN1  NCOA1  P2RX7  OSBPL8  CYTH4  NFKBIA  NFAT5  CTSH  SLC15A3  SH2B3  HES1  PTK2B  ARFGEF2  GPR108  CHSY1  MBD2  IRAK2  ITM2C  SERPINE2  RGS3  RB1  UGCG  ZEB1  ADAM8  ZBTB7B  LMNA  USP47  RGS19  PARP14  TBC1D10C  GRB2  GPR3  STK40  SIPA1L1  CDC42SE1  TCTN1  IKBKE  PRAG1  BCL3  TLR1  TMSB4X  RANBP9  CCDC88C  WNK1  OAS1  TBL1X  RASAL3  NFKB1  OAS3  HTRA2  PRMT1  RNF6  SQSTM1  NUAK2  GHITM  HEG1  SMAD2  MYO1C  MEF2C  PIM2  CD86  NFATC1  SLC6A9  SIRPA  PPP1R15A  PTK6  DOCK8  SGK1  GNA13  ARHGAP9  SRMS  SPPL2A  VAV2  TAGAP  ARHGEF40  PLK3  ARHGAP30
1.63E-13,157,3615,1.882055514,GO:0023051 reg. of signaling , http://amigo.geneontology.org/amigo/term/GO:0023051, HMOX1  BST2  MALT1  LITAF  CFLAR  CD22  FAS  CD44  STAP1  TRAF1  TRAF3IP2  LIMS2  TRAF4  CYLD  GRK3  CD40  CCL22  CSK  CBL  LY86  CBLB  PMEPA1  ZBP1  RBCK1  GDF11  SPRY2  DUSP5  PARP9  INHBE  DUSP6  TNIP1  PTPRJ  BANK1  LY96  DUSP2  PEA15  MIOS  SPRED1  TNIP2  BCL2  GPR137  INHBC  DDIT3  MCTP1  EPS8L2  SRC  GRK6  SPRED2  CCR7  LAMC1  UFL1  CYBA  CDK14  ICAM1  RIOK3  KCNN4  IL10RA  PTPN6  KLF2  SCYL2  ITPR1  RAB11FIP1  TMC8  TRIM56  NPTX1  TLR6  CSF1  RASGRF1  NDST1  ITCH  PSEN1  NCOA1  P2RX7  OSBPL8  CYTH4  TSPO  NFKBIA  NFAT5  CTSH  P2RX1  SLC15A3  TCIRG1  SH2B3  HES1  PTK2B  EGR2  ARFGEF2  GPR108  RARA  CHSY1  MBD2  IRAK2  ITM2C  SERPINE2  RGS3  RB1  UGCG  ZEB1  ADAM8  ZBTB7B  LMNA  SQSTM1  USP47  RGS19  PARP14  TBC1D10C  GRB2  GPR3  STK40  SIPA1L1  CDC42SE1  PIM3  TCTN1  IKBKE  PRAG1  BCL3  TLR1  TMSB4X  RANBP9  CCDC88C  WNK1  OAS1  TBL1X  RASAL3  NFKB1  OAS3  HTRA2  ECE1  PRMT1  RNF6  AP1AR  NUAK2  GHITM  HEG1  SMAD2  MYO1C  TYROBP  MEF2C  PIM2  CD86  NFATC1  SLC6A9  SIRPA  ATP2B1  PPP1R15A  PTK6  DOCK8  SGK1  GNA13  ARHGAP9  SRMS  SPPL2A  VAV2  TAGAP  ARHGEF40  PLK3  ARHGAP30
9.80E-16,185,4338,1.848090605,GO:0048583 reg. of response to stimulus , http://amigo.geneontology.org/amigo/term/GO:0048583, HMOX1  BST2  MALT1  LITAF  CFLAR  CD22  FAS  CD44  TNFRSF1B  STAP1  TRAF1  TRAF3IP2  LIMS2  TRAF4  CYLD  LAT2  GRK3  CD40  CCL22  CSK  CD276  CD79A  CBL  LY86  CBLB  PMEPA1  ZBP1  RBCK1  THEMIS2  GDF11  SPRY2  DUSP5  PARP9  TAPBPL  INHBE  DUSP6  TNIP1  PTPRJ  BANK1  LY96  DUSP2  PEA15  MIOS  SPRED1  TNIP2  BCL2  GPR137  TLR10  TLR1  TLR6  AKIRIN1  INHBC  DDIT3  EPS8L2  CADM1  C17orf99  SRC  GRK6  SPRED2  DENND1B  NCOA1  SUPT20H  CCR7  LAMC1  SERPINE2  NCOA2  BATF  TYROBP  UFL1  WAS  CYBA  CDK14  FAM3A  ICAM1  NFKBIA  RIOK3  CTSH  KCNN4  IL4I1  IL10RA  PTPN6  KLF2  RARA  SCYL2  ITPR1  MR1  TMC8  TRIM56  NPTX1  CSF1  TMSB4X  RASGRF1  WNK1  NDST1  IL4R  ITCH  PSEN1  P2RX7  OSBPL8  CYTH4  NFAT5  N4BP1  FCER2  AKNA  VSIR  SGCA  NFKB1  SLC15A3  SH2B3  HES1  PTK2B  ARFGEF2  GPR108  RAC2  PLXNA3  CHSY1  ALOX5AP  MBD2  IRAK2  ITM2C  SPPL2A  RGS3  RB1  UGCG  ZEB1  ADAM8  SAMSN1  ZBTB7B  LMNA  USP47  RGS19  PARP14  TBC1D10C  MCTP1  CLCF1  GRB2  GPR3  STK40  SIPA1L1  CDC42SE1  MYO1C  PIM3  TCTN1  IKBKE  PRAG1  BCL3  ITGB2  DTX3L  RANBP9  CCDC88C  ATP2B1  STX7  OAS1  UNC13D  RIN3  TBL1X  RASAL3  OAS3  HTRA2  PRMT1  RNF6  SQSTM1  NUAK2  PPP4R2  GHITM  HEG1  SMAD2  SIRPA  MEF2C  PIM2  CD86  NFATC1  SLC6A9  PPP1R15A  PTK6  DOCK8  SGK1  GNA13  ARHGAP9  SRMS  VAV2  TAGAP  ARHGEF40  PLK3  ARHGAP30
