Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
4.94E-16,23,90,11.86078431,WP CYTOPLASMIC RIBOSOMAL PROTEINS,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS, RPS27  RPL27A  RPL29  RPS29  RPS4X  RPS21  RPS24  RPS23  RPL35  RPL34  RPL37A  RPL38  RPS8  RPL31  RPL14  RPL11  RPS11  RPL18A  RPL18  RPL21  RPS3  RPS3A  RPLP2
2.04E-18,49,424,5.363623751,PUJANA BRCA2 PCC NETWORK,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/PUJANA_BRCA2_PCC_NETWORK, RAG2  CHEK2  PRPF4  SEPHS1  DDX23  KDM1A  CXCR4  CHAF1A  HMGN1  PAICS  TMEM131L  MCM6  EXOSC2  HMGN4  PRKCQ  HLTF  MAPRE1  CHEK1  DNTT  UNG  RNASEH2B  TCF7  KIF20B  CDC25B  TOP1  LIG1  MYB  RAG1  MCM2  NFYA  MAD2L1  CCND3  SKP2  MCM7  BUB3  NUDT21  LMNB1  MCM4  MSH2  TRIM28  MCM3  MYBL2  POLD1  FEN1  ZBTB39  NCAPH  SIVA1  CDC6  MRE11
2.52E-16,43,379,5.265714729,BENPORATH ES 1,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/BENPORATH_ES_1, SERBP1  MCM4  ADD2  NUDT21  MRE11  HSPA8  FEN1  ELOVL6  SLC7A3  CDC6  MCM2  TTLL12  PAICS  HELLS  BUB3  JARID2  SSB  DNAJB6  CDC25A  DSCC1  MAD2L2  MIS18BP1  SEPHS1  TEAD4  MCM3  NOLC1  CDCA5  UNG  NOP56  PARP1  NCAPH  DNMT3B  CHAF1A  KCNS3  RPS24  CHEK2  MCM7  MCM6  CHEK1  MSH2  DDX18  TUBB4B  SLC39A10
6.30E-16,52,572,4.219251337,GOBERT OLIGODENDROCYTE DIFFERENTIATION UP,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP, NCAPH  MIS18BP1  CSRP2  MYBL2  MCM7  CCND3  ERI2  TONSL  PA2G4  RRP1B  INCENP  NOC2L  MAD2L1  CHEK1  MCM3  MCM6  SIVA1  H2AZ1  NCL  UHRF1  FEN1  LMNB1  NOLC1  MCM2  ATOH8  MYB  HMGN5  C4orf46  PDLIM1  MRE11  LIG1  SEPHS1  PBK  KIF20B  ENKD1  HELLS  MNS1  CDC6  XRCC2  NOP58  MCM4  CDCA5  CCDC77  SPC24  TMEM97  UNG  IGF1R  DSCC1  CDC25B  POLD1  SKP2  CHEK2
1.40E-16,55,610,4.18466731,CAIRO HEPATOBLASTOMA CLASSES UP,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/CAIRO_HEPATOBLASTOMA_CLASSES_UP, RAN  LRRC59  DDX18  POLR2D  SSB  NOP56  MRE11  SKP2  CHEK1  HIC2  EXOSC2  NCL  FARSA  SERBP1  RPL14  CCT3  RANBP1  MAPRE1  RPL18  RPS3  PARP1  MAD2L1  C8orf33  CDC6  KDM1A  MCM4  RPL18A  TMEM97  RPS8  YBX3  CDC25A  MCM2  MSH2  MCM6  NOLC1  CHAF1A  RPS21  RPL37A  CHEK2  LIG1  MCM7  RPL11  JPT2  LRRC1  PBK  DDX27  DDX1  TRIM28  MPZL1  MCM3  POLD1  CDK4  BUB3  DUSP9  PRPF6
8.88E-17,70,945,3.437908497,KRIGE RESPONSE TO TOSEDOSTAT 6HR DN,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN, DNAJA1  CCT3  SSB  YBX3  FARSA  DDX18  SERBP1  NCL  MPZL1  POLR2D  RRP1B  PRR5  ZNF486  DNAJB1  MYB  CABLES1  C9orf78  B4GALT5  SPR  TMEM97  NOL10  PTMA  SOD2  SLC2A5  SORD  HDDC2  ISG20L2  MYLIP  GOT2  EEF1AKMT1  GEMIN4  PEBP1  RPGRIP1L  MAD2L1  BAHCC1  GNL3L  JPT2  ZNF618  SESN3  HSP90AA1  TOP1MT  DBR1  SOX4  UCK2  TTLL12  ENAH  RPL27A  SIVA1  ACTR5  SKP2  RRP1  MYC  DNAJB6  PA2G4  C4orf3  MORF4L2  KIF20B  ASB13  DYRK2  HES6  SCD  RANBP1  SLC39A10  TUBB2A  FAM117B  NOLC1  ALKBH2  NOC2L  KCTD12  PNP
7.31E-18,76,1037,3.401440808,KRIGE RESPONSE TO TOSEDOSTAT 24HR DN,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN, GEMIN4  MYB  DYRK2  MYLIP  PEBP1  MYC  SIVA1  SLC2A5  HMGN5  SPR  SERBP1  SKP2  FAM117B  TMEM97  NOLC1  DNAJB1  ASB13  PTMA  B4GALT5  DDX18  NOL10  BAHCC1  NEU3  RANBP1  C9orf78  ZNF486  KIF20B  PRR5  PA2G4  HSP90AA1  RRP1B  RPL27A  POLR2D  MPZL1  TAF4B  SLC39A10  TTLL12  UCK2  SORD  C4orf3  RRP1  MAD2L1  FARSA  NOP56  HDDC2  ALKBH2  SESN3  DNAJA1  EEF1AKMT1  CABLES1  TOP1MT  ISG20L2  NOC2L  NCL  SCD  JPT2  ZNF618  C8orf33  SOD2  SOX4  DBR1  KHSRP  SSB  KCTD12  ZEB2  HES6  ACTR5  YBX3  PNP  RPGRIP1L  ENAH  GOT2  CCT3  TUBB2A  GNL3L  DNAJB6
2.03E-15,68,968,3.260330579,FISCHER DREAM TARGETS,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/FISCHER_DREAM_TARGETS, CDC25A  LMNB1  MAD2L1  NCAPH  MCM7  CHEK1  INCENP  CCDC150  PBK  GINS3  MIS18BP1  CDC6  FEN1  MNS1  XRCC2  CCDC77  CHEK2  HELLS  NOP58  MRE11  MCM2  MCM3  CDCA5  MCM4  C4orf46  CDC25B  UNG  KIF20B  MND1  POLD1  SPC24  H2AZ1  DSCC1  ERI1  DNMT3B  TMEM97  DCAF16  KHSRP  BUB3  TOP1  CHAF1A  NOLC1  POLR1E  CMSS1  HLTF  MCM6  MYBL2  RANBP1  MYC  MSH2  SKP2  UHRF1  RNASEH2B  SIVA1  TONSL  ZNF107  HSPA8  PAICS  EXOSC2  PRPF4  CDK4  THRAP3  KPNA3  NAP1L1  ZNF138  HSP90AA1  KDM1A  ZNF724
9.29E-16,85,1401,2.815845824,DODD NASOPHARYNGEAL CARCINOMA DN,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DODD_NASOPHARYNGEAL_CARCINOMA_DN, NOP56  RAN  MCM7  CDC25A  SEPHS1  MPZL1  NAV1  KIF20B  UHRF1  H2AZ1  C8orf33  UNG  DNAJB6  MAPRE1  DDX18  MCM4  RPL31  BUB3  CCT3  MCM6  CHEK1  ZNF519  KHSRP  NOLC1  CCDC77  MAD2L1  RPS21  MCM2  SLC39A10  ZNF618  GINS3  FEN1  PA2G4  COL1A1  CMSS1  RRP1B  LMNB1  CDK4  PBK  NAP1L1  UCK2  C4orf46  HELLS  ERI1  POLR2D  C11orf96  SOCS2  ISG20L2  PAICS  TAF4B  CDCA5  SKP2  ZNF138  TMEM97  PRR5  RPS24  SCD5  BRI3BP  RANBP1  NAA50  NCAPH  F2R  CDC6  NCL  ATF5  ALKBH2  IDH1  SOX4  DOCK4  DEGS1  RPL37A  NOL8  NOP58  MND1  ZNF121  CHAF1A  MYC  GSTO1  HIC2  GCA  CCDC150  DSCC1  CHEK2  MSH2  MCM3
6.84E-17,96,1624,2.743552593,PUJANA BRCA1 PCC NETWORK,HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/PUJANA_BRCA1_PCC_NETWORK, HMGN1  PRPF19  TOP1  MRE11  CDK4  HRK  HMGN4  RRP1B  UCK2  ERCC3  NOP56  PRPF4  POU4F1  RPL27A  NAP1L1  RPL14  RPL11  MCM3  SSB  MDM4  XRCC2  MCM2  RNASEH2B  NCL  PARP1  CHEK1  IGLL1  RPS23  CXCR4  HSPA8  CCT3  BUB3  MYC  PAICS  ISG20L2  MAD2L1  MCM7  TAF4B  MSH2  RPS3A  UNG  MCM4  CHEK2  NUDT21  SERBP1  PTMA  NOC2L  GEMIN4  RPL36AL  TRIM28  CDC6  STX2  LMNB1  ZBTB33  KIF20B  BMP7  BLNK  NCAPH  RANBP1  MYB  MCM6  CDC25A  KHSRP  H2AZ1  TMEM131L  RPL35  ACVR2B  FEN1  JARID2  IGF1R  MAX  CHAF1A  SET  RPL21  CEP162  PA2G4  DDX27  RPLP2  CCND3  MAPRE1  DDX18  ERI2  RPL18A  RAN  FBLN1  FARSA  RPL31  NOLC1  MYBL2  HLTF  STK24  HDDC2  POLR2D  LIG1  RPS24  HSP90AA1
