Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
2.18E-09,24,178,6.257766028,GO:0002181 cytoplasmic translation , http://amigo.geneontology.org/amigo/term/GO:0002181, RPL31  RPL29  RPL18  RPL18A  RPL34  RPL21  RPL35  RPS24  RPS11  RPL11  RPS8  RPS3A  RPS3  RPL27A  RPS21  RPL38  RPLP2  RPS27  RPS23  RPL14  RPL37A  RPS4X  RPS29  YBX3
4.91E-07,24,248,4.491461101,GO:0006364 rRNA processing , http://amigo.geneontology.org/amigo/term/GO:0006364, DDX18  ERI1  NOP53  NOL10  EXOSC2  RPL35  RPS8  RRP1B  RRP1  NOL9  RPS21  MRPS11  ERI2  DROSHA  PA2G4  GEMIN4  NOL8  RPS24  RPL11  RPS27  RPL14  NOP58  NOP56  NOLC1
1.14E-07,27,288,4.351102941,GO:0016072 rRNA metabolic proc. , http://amigo.geneontology.org/amigo/term/GO:0016072, DDX18  ERI1  NOP53  NOL10  EXOSC2  RPL35  POLR1E  RPS8  RRP1B  RRP1  NOL9  RPS21  MRPS11  ERI2  DROSHA  PA2G4  GEMIN4  NOL8  NCL  RPS24  RPL11  RPS27  RPL14  NOP58  NOP56  NOLC1  BRF1
2.49E-08,30,327,4.257960065,GO:0042254 ribosome biogenesis , http://amigo.geneontology.org/amigo/term/GO:0042254, DDX18  ERI1  NOP53  NOL10  EXOSC2  RAN  RPL35  RPS8  RRP1B  RRP1  NOL9  RPS21  RPS27  MRPS11  RPL14  NOC2L  ERI2  NOP58  NOP56  DROSHA  GNL3L  ISG20L2  PA2G4  RPL38  GEMIN4  NOL8  GLUL  RPS24  RPL11  NOLC1
4.91E-07,27,312,4.016402715,GO:0006302 double-strand break repair , http://amigo.geneontology.org/amigo/term/GO:0006302, MRE11  MCM2  MCM6  MCM4  DNTT  MCM3  RNF8  PARP1  CDCA5  MCM7  XRCC2  ARID1B  MAD2L2  MORF4L2  DDX1  RADX  CHEK1  TONSL  KLHL15  MSH2  HMCES  KDM1A  ACTR5  PRPF19  CHEK2  PPP5C  FEN1
3.41E-09,40,509,3.647289957,GO:0022613 ribonucleoprotein complex biogenesis , http://amigo.geneontology.org/amigo/term/GO:0022613, DDX18  PRPF6  ERI1  NOP53  NOL10  EXOSC2  RAN  RPL35  RPS8  POLR2D  RRP1B  RRP1  NOL9  RPS21  RPL38  RPS27  GEMIN4  MRPS11  SRPK3  RPL14  NOC2L  ERI2  SF3B6  DDX23  HSP90AA1  PRPF19  NUDT21  NOP58  NOP56  DROSHA  GNL3L  ISG20L2  ANKRD30BL  PA2G4  NOL8  GLUL  RPS24  RPL11  DDX1  NOLC1
1.43E-05,26,348,3.467545639,GO:0006310 DNA recombination , http://amigo.geneontology.org/amigo/term/GO:0006310, MRE11  MCM2  MCM6  MSH2  MCM4  MCM3  MND1  RAG1  MCM7  RAG2  XRCC2  MAD2L2  MORF4L2  PARP1  RADX  CHEK1  TONSL  KLHL15  UNG  TCF7  ACTR5  LIG1  RNF8  HMCES  KDM1A  FEN1
1.51E-07,42,649,3.00353485,GO:0006281 DNA repair , http://amigo.geneontology.org/amigo/term/GO:0006281, MRE11  POLD1  MCM2  MCM6  UNG  MSH2  MCM4  DNTT  MCM3  RNF8  PARP1  CDCA5  RADX  ERCC3  MCM7  ALKBH2  XRCC2  ARID1B  MAD2L2  MORF4L2  RNASEH2B  DDX1  LIG1  TRIM28  RPS3  CHEK1  TONSL  KLHL15  PPP5C  CDC5L  ACTR5  PRPF19  EEPD1  CHAF1A  FEN1  HMCES  CHEK2  HMGN1  NYNRIN  UHRF1  KDM1A  NOP53
1.12E-10,68,1138,2.773286467,GO:0006259 DNA metabolic proc. , http://amigo.geneontology.org/amigo/term/GO:0006259, MRE11  POLD1  MCM2  MCM6  UNG  DNMT3B  MSH2  MCM4  LIG1  DNTT  MCM3  RNF8  HELLS  MND1  PARP1  CDCA5  RADX  ERCC3  RAG1  MCM7  RAG2  GINS3  TOP1MT  ALKBH2  XRCC2  TOP1  UHRF1  ARID1B  MAD2L2  MORF4L2  RNASEH2B  DDX1  HSP90AA1  TRIM28  DSCC1  RPS3  CHEK1  TONSL  FEN1  KLHL15  DDX23  PPP5C  MBD3  TCF7  CDC6  CDC5L  ACTR5  PRPF19  EEPD1  CTCFL  IGF1R  ALKBH4  KDM1B  CHAF1A  HMCES  CHEK2  HMGN1  NYNRIN  REPIN1  KDM1A  PRKCQ  NOP53  GNL3L  MYC  CCT3  SET  RAN  NAP1L1
7.99E-09,58,996,2.702693125,GO:0000278 mitotic cell cycle , http://amigo.geneontology.org/amigo/term/GO:0000278, MRE11  MCM2  MCM6  CDC6  RANBP1  MYBL2  CDC25B  MCM4  LIG1  MCM3  CCND3  MYB  NCAPH  NAA50  CCNJL  DSCC1  TUBB2A  SKP2  CDCA5  INCENP  BUB3  CDC25A  MAD2L1  TUBA1A  TUBB6  GAS1  GINS3  CHEK2  TUBB4B  DCTN1  ARID1B  CDK4  SPC24  BMP7  MAPRE1  MYC  CHEK1  LZTS1  EML1  MSH2  RNASEH2B  KIF20B  TTLL12  KIF3B  NOP53  RIPOR2  IK  SPTBN1  RAN  ARL3  ERCC3  XRCC2  MAEA  PPP1R9B  PBK  PPP5C  MAD2L2  NOLC1
